21:35:04 [AccountInfo] Account connected (Account: louismk5, IpAddress: 14.226.4.216, GameServerCode: 20)
21:35:10 [AccountInfo] Account disconnected (Account: louismk5, IpAddress: 14.226.4.216, GameServerCode: 20)
21:35:23 [AccountInfo] Account connected (Account: louismk5, IpAddress: 14.226.4.216, GameServerCode: 20)
21:41:00 [AccountInfo] Account disconnected (Account: louismk5, IpAddress: 14.226.4.216, GameServerCode: 20)
21:41:18 [AccountInfo] Account connected (Account: louismk4, IpAddress: 14.226.4.216, GameServerCode: 20)
21:41:47 [AccountInfo] Account disconnected (Account: louismk4, IpAddress: 14.226.4.216, GameServerCode: 20)
21:41:52 [AccountInfo] Account connected (Account: louismk5, IpAddress: 14.226.4.216, GameServerCode: 20)
21:42:41 [AccountInfo] Account disconnected (Account: louismk5, IpAddress: 14.226.4.216, GameServerCode: 20)
21:43:07 [AccountInfo] Account connected (Account: louismk4, IpAddress: 14.226.4.216, GameServerCode: 20)
21:55:13 [AccountInfo] Account disconnected (Account: louismk4, IpAddress: 14.226.4.216, GameServerCode: 20)
